"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","T1.2442","T2.2443","T3.2538","T31","T32","T33","T34","T27.2846","T28.3102","T29.4247","T42","T43","T44","T45","Symbols"
"Dcn",3112.27293085716,0.0628005877652947,0.173039889078407,0.362925497119562,0.716660539525392,0.83025367266105,2104.53037219647,2347.77395727404,2758.02660003706,3327.68709674729,2926.94039733794,3417.38072213841,4431.00076562945,3601.41574396018,3725.73297028284,3969.46932827798,2552.37059891186,3231.78632072741,2227.1161602757,2950.58999820366,"Dcn"
"Pdgfra",2037.34399842044,-0.0557979661091768,0.212948993760733,-0.262025028265081,0.793302146356138,0.881880821327482,1265.47783229797,1275.50461875449,1407.90900875969,2168.39784689075,2547.82949545858,2600.7154510362,3274.13399530837,2176.32252771691,1872.47990163584,1948.42090687714,1702.77198218723,1777.12644076512,1860.77871736629,2644.94725283158,"Pdgfra"
"S100a4",252.587445858431,0.119101226930073,0.240293831265093,0.495648291523057,0.620142575113032,0.761680761116392,227.996265735927,355.255269850678,232.266458833693,181.797632363866,194.023087830513,295.025673853676,208.345674275833,353.189900170441,310.833799986326,267.97048462192,137.032034955585,260.414635853389,141.147661826858,370.925661859327,"S100a4"
"Vim",2809.4104425336,0.340763868307635,0.22216732973913,1.53381628481452,0.125074855544639,0.269889104734997,1648.53784072461,1508.8187204642,1618.15968950488,2601.81394143939,2158.50685211446,4492.72792466304,3328.04800751133,2918.58193696399,3355.08235655344,3112.96553630885,2744.21544784968,2819.80222884998,3217.30471919847,3807.18099332414,"Vim"
"Acta2",2866.93263818439,0.304788547286115,0.286687034140474,1.06314032722098,0.287718318697093,0.472552365052545,1145.89477649411,1286.88579444765,1319.29550195347,3041.81690672585,2655.0527808386,5250.60184771469,3259.51324623639,2784.03340356573,3748.16427543649,3143.01830093935,2804.9861763952,2876.76793044291,3377.84671623818,3443.17927715285,"Acta2"
"Grem2",86.1760728695305,3.03688818604445,0.495134649148214,6.13345923430898,8.59884604317715e-10,8.4428982147136e-08,19.0544429577576,7.31647008845789,7.70552233097561,19.7606122134637,6.3823384154774,44.8952112386028,26.5001076929788,109.881302275248,91.861535391148,219.134742097365,50.046482331605,84.431307718091,412.668354806769,106.826590615486,"Grem2"
"Myh11",2990.49469298713,1.51617542238288,0.233647204332518,6.4891656919854,8.63130018211209e-11,1.33628220092154e-08,1069.67700466308,910.494055452537,876.778362374582,1987.91758867445,1747.48425815771,2176.34881147132,2080.71535230733,4292.09821540459,3913.72867061821,5498.40372885445,3276.85300980747,4449.42819227627,6241.74354933581,3345.25490242199,"Myh11"
"Tagln",2519.59330849535,0.784092617954515,0.217160161449543,3.6106651087414,0.000305412805124048,0.0032327776686024,1084.13209932069,1160.87992070198,1438.18070363138,2111.75075854549,1658.13152034103,3169.38812672517,2339.31985151812,3065.46408592376,3909.45604106513,3568.76579987137,2422.48806143222,2687.56042158068,3269.02294643274,3389.76598184511,"Tagln"
"Cnn1",541.666284318715,1.53062108680377,0.286909194475677,5.33486244524497,9.56170145436513e-08,4.36167256520995e-06,243.1084101507,173.96939988111,91.3654790672822,351.738897399655,247.634730520523,365.575291514337,478.829532107616,824.109767064362,1038.24898139763,949.166482913158,444.460426421159,898.227044759932,773.61848237927,703.275054885285,"Cnn1"
"Col6a6",13.7849892933225,1.6227144441488,0.483243427642351,3.35796485027371,0.000785185970332779,0.0066489200924257,3.28524878582027,7.31647008845789,4.95355006991289,9.22161903294975,8.93527378166836,4.27573440367646,10.0517649869919,47.0919866893921,5.34078694134581,21.2873749466012,15.4905778645444,13.2241807269299,11.8520937411866,30.6631880470377,"Col6a6"
"Col14a1",144.494022052625,2.1949308960794,0.399875608094814,5.48903421875875,4.04137333899324e-08,2.15826234030486e-06,25.6249405293981,21.1364691444339,28.6205115150523,57.964462492827,16.5940798802412,132.54776651397,81.3279167129348,154.730813408003,226.449366313062,275.483675779544,224.017587579565,345.863188242783,281.217860586336,151.337670038606,"Col14a1"
"Myl9",1303.91926787686,0.833456680776765,0.186889757096827,4.45961669448238,8.21063597647196e-06,0.000179521280472733,678.732399150468,640.597603300535,751.288427270122,980.126365787802,853.956879990876,1554.22945573639,1105.69414856911,1378.00122955388,1606.50871195682,2083.65834771437,1426.32474645074,1588.9361765742,1959.90531956531,1646.90993865541,"Myl9"
"Ogn",108.570425155909,1.23367302194171,0.357656148313154,3.44932703592598,0.000561985629054699,0.00509075279936251,35.4806868868589,30.0788214747713,29.1709059672648,117.246299133218,95.735076232161,45.9641448395219,102.345243503918,159.215764521278,163.428080405182,227.90013178126,95.326633012581,81.3795737041841,210.105298139217,126.609292581317,"Ogn"
"Tpm2",1006.87832867022,0.886060329363304,0.174119311786337,5.08881134592694,3.60314835725401e-07,1.32435143577056e-05,571.633288732727,559.303491206559,583.418119345296,732.460026045723,566.751651294393,1098.86374174485,838.865478005327,1125.72272943214,1510.3745470126,1676.69382667641,968.756907990355,1190.17626542369,1334.97674048456,1338.29978798845,"Tpm2"
"Csf3",34.4731479353055,-6.14532751350273,0.788054445589921,-7.7981001793632,6.28461115728111e-15,4.01350980031865e-12,76.8748215881943,69.0999952798801,32.4732726805401,142.276407936939,19.1470152464322,110.100160894669,25.5863108759795,0,1.06815738826916,5.00879410508263,0,0,0,0.98913509829154,"Csf3"
"Cxcl2",224.31668969968,-2.14424229877711,0.465033227432645,-4.61094427728323,4.00843984131852e-06,0.000100060842749005,367.94786401187,516.217611796751,303.817737621324,443.955087729152,171.046669534794,594.327082111027,163.569630242869,156.97328896464,53.4078694134581,95.1670879965699,108.434045051811,30.517340139069,6.46477840428359,128.5875627779,"Cxcl2"
"Il1a",725.855268183177,-1.86721928132919,0.257073395512074,-7.2633703600865,3.77562293318267e-13,1.23125473823172e-10,1571.00596937925,1652.70929887054,811.831817013502,1590.07059611005,995.644792814475,634.946558945954,719.158094978423,320.674004599194,403.763492765743,425.747498932023,281.213567387114,345.863188242783,167.006775443993,242.338099081427,"Il1a"
"Il1b",675.427517207652,-1.42098613147135,0.32560674526887,-4.36411761156228,1.27636898345038e-05,0.000260491443533209,724.725882151952,1135.67874595285,699.551348762143,1777.13772506417,800.345237300866,1045.41706169889,702.709752272437,653.681624759895,369.58245634113,315.554028620205,328.876883893405,169.879860107484,131.450494220433,601.394139761256,"Il1b"
"Mmp9",358.75049472594,-1.61847669083951,0.313250160042391,-5.16672263031081,2.38234395348735e-07,9.29114141860067e-06,693.187493808077,552.79996223904,955.484769040975,314.852421267856,329.328662238634,498.123058028307,444.105253061644,200.701562319076,179.450441229219,137.741837889772,210.910175540336,201.414444917856,45.2534488299852,259.153395752383,"Mmp9"
"Ptgs2",843.002759448254,-2.3885616811322,0.341963969861678,-6.98483434409292,2.85192288347641e-12,7.5364520750074e-10,1446.16651551808,1500.68930925481,1787.13078633413,2392.35145197668,511.863540921288,1580.95279575937,690.830393651446,279.188206801396,201.881746382872,204.108359782117,202.569095151735,620.519249494404,241.351727093254,142.435454153982,"Ptgs2"
